Campo_magnetico_x
xpos	B
-0.003202247191011236	11.416818521705759
-0.0028651685393258418	11.111507009648337
-0.00252808988764045	10.483976966390784
-0.002191011235955056	9.691809227022052
-0.001853932584269662	8.843660596896287
-0.00151685393258427	8.006290556336156
-0.001179775280898876	7.216470536896341
-8.426966292134841E-4	6.491550671927423
-5.0561797752809E-4	5.837174401562449
-1.6853932584269594E-4	5.252388811964425
1.6853932584269594E-4	4.732831204618517
5.0561797752809E-4	4.272627125218415
8.426966292134841E-4	3.8654723342087856
0.001179775280898876	3.5052169155230364
0.00151685393258427	3.186154562316501
0.001853932584269662	2.9031423502422595
0.002191011235955056	2.6516265433993937
0.00252808988764045	2.427619091250372
0.0028651685393258418	2.227650687260557
0.003202247191011236	2.048714999944029
0.00353932584269663	1.8882120255680057
0.003876404494382022	1.7438946258446522
0.0042134831460674165	1.6138200877905062
0.004550561797752808	1.496307300894854
0.004887640449438202	1.3898994825196813
0.0052247191011235965	1.2933320530961627
0.005561797752808988	1.2055051236923506
0.005898876404494384	1.125460024547506
0.006235955056179777	1.0523593242544278
0.006573033707865168	0.9854698366080956
0.00691011235955056	0.9241481694671201
0.007247191011235957	0.8678284284410188
0.007584269662921348	0.8160117432925661
0.00792134831460674	0.7682573345849909
0.008258426966292136	0.7241748816522476
0.008595505617977528	0.6834179905144842
0.00893258426966292	0.6456785923561962
0.009269662921348317	0.6106821302412342
0.009606741573033708	0.5781834145018994
0.0099438202247191	0.5479630463270628
0.010280898876404496	0.5198243250483782
0.010617977528089888	0.49359056797864725
0.010955056179775281	0.4691027828186869
0.011292134831460677	0.44621764198120895
0.011629213483146068	0.4248057159877489
0.01196629213483146	0.40474992963333795
0.012303370786516853	0.38594421009653745
0.012640449438202249	0.3682923007767817
0.012977528089887641	0.35170671851367064
0.013314606741573032	0.3361078351057349
0.013651685393258428	0.3214230668001766
0.01398876404494382	0.3075861577538287
0.014325842696629213	0.29453654543843233
0.014662921348314609	0.28221879763788255
0.015	0.27058211210916094
